,NODE_ID,Total_Accidents,Common_Time,Time_%,Dangerous_Hour,Hour_%,Common_Severity,Severity_%
0,36335,67,Evening,44.776119402985074,22,10.44776119402985,3,68.65671641791045
1,-1,49,Morning,36.734693877551024,10,14.285714285714285,3,65.3061224489796
2,10592,47,Evening,36.17021276595745,20,12.76595744680851,2,51.06382978723404
3,65743,44,Afternoon,47.72727272727273,20,11.363636363636363,3,77.27272727272727
4,1015,43,Afternoon,48.837209302325576,14,16.27906976744186,3,60.46511627906976
5,29766,43,Evening,39.53488372093023,16,9.30232558139535,3,58.139534883720934
6,35331,42,Morning,38.095238095238095,6,9.523809523809524,3,71.42857142857143
7,45524,42,Morning,38.095238095238095,6,19.047619047619047,2,50.0
8,29400,42,Afternoon,42.857142857142854,16,16.666666666666664,3,76.19047619047619
9,36826,41,Afternoon,36.58536585365854,15,12.195121951219512,3,73.17073170731707
